Mineral,States,Unit,Quantity 2010-11,Value 2010-11,Quantity 2011-12,Value 2011-12,Quantity 2012-13,Value 2012-13,Quantity 2013-14,Value 2013-14,Quantity 2014-15(P),Value 2014-15(P)
Magnesite,Uttaranchal,tonne,58341,74750,62373,78943,52370,79215,44229,52962,51295,66855
Marl,India,tonne,4399379,307556,4140577,272904,4337009,269366,3254486,280571,2179489,256240
Marl,Gujarat,tonne,3738693,224314,3901296,245294,4240183,250348,3216915,270164,2177450,255663
Marl,Tamil Nadu,tonne,660686,83242,239281,27610,96826,19018,37571,10407,2039,577
Mica (crude),India,tonne,1333,44505,1899,68670,1256,39963,1660,47838,636,21892
Mica (crude),Andhra Pradesh,tonne,1317,44124,1784,61967,1177,37988,1660,47838,636,21892
Mica (crude),Bihar,tonne,0,0,0,0,0,0,0,0,0,0
Mica (crude),Jharkhand,tonne,0,0,1,3870,0,0,0,0,0,0
Mica (crude),Rajasthan,tonne,16,381,114,2833,79,1975,0,0,0,0
Mica (waste & Scrap),India,tonne,7311,0,14186,0,16255,0,19752,0,11852,0
Mica (waste & Scrap),Andhra Pradesh,tonne,4648,0,7313,0,7415,0,7626,0,7644,0
Mica (waste & Scrap),Bihar,tonne,1459,0,4632,0,2939,0,3381,0,1378,0
Mica (waste & Scrap),Jharkhand,tonne,0,0,0,0,782,0,2110,0,0,0
Mica (waste & Scrap),Rajasthan,tonne,1204,0,2241,0,5119,0,6635,0,2831,0
Ochre,India,tonne,1218261,240374,1576265,276937,1833783,582998,1580675,495087,2203708,816164
Ochre,Andhra Pradesh,tonne,39376,6194,189087,32921,97581,21953,130901,23136,155723,23188
Ochre,Chhattisgarh,tonne,0,0,0,0,0,0,0,0,0,0
Ochre,Gujarat,tonne,2719,299,5525,608,4690,797,5050,859,6300,1071
Ochre,Jharkhand,tonne,1200,205,0,0,0,0,0,0,NA,NA
Ochre,Karnataka,tonne,34157,29063,1126,5067,0,0,0,0,NA,NA
Ochre,Madhya Pradesh,tonne,44897,5593,54089,8339,55445,13552,69246,13068,70422,17329
Ochre,Maharashtra,tonne,0,0,0,0,0,0,0,0,0,0
Ochre,Rajasthan,tonne,1095912,199020,1326438,230002,1676067,546696,1375478,458024,1971263,774576
Perlite,India,tonne,0,0,0,0,0,0,0,0,0,0
Perlite,Gujarat,tonne,0,0,0,0,0,0,0,0,0,0
Pyrites,India,tonne,0,0,0,0,0,0,0,0,0,0
Pyrites,Bihar,tonne,0,0,0,0,0,0,0,0,0,0
Pyrophyllite,India,tonne,240082,83123,255891,139510,247968,156004,224677,186193,147431,121085
Pyrophyllite,Andhra Pradesh,tonne,0,0,0,0,176,141,1980,1584,1603,1122
Pyrophyllite,Jharkhand,tonne,0,0,0,0,0,0,0,0,0,0
Pyrophyllite,Madhya Pradesh,tonne,207521,73945,220980,130815,207768,143904,166896,166418,115655,107321
Pyrophyllite,Maharashtra,tonne,1485,368,1054,337,714,259,1527,865,1030,692
Pyrophyllite,Orissa,tonne,0,0,0,0,0,0,10066,4914,3388,1743
Pyrophyllite,Rajasthan,tonne,0,0,0,0,7697,1145,17968,3641,0,0
Pyrophyllite,Uttar Pradesh,tonne,31076,8810,33857,8358,31613,10555,26240,8771,25755,10207
Pyroxenite,India,tonne,253205,126179,86031,33113,58562,17980,2985,806,0,0
Pyroxenite,Jharkhand,tonne,54986,14978,62747,19375,58562,17980,2985,806,0,0
Pyroxenite,Orissa,tonne,198219,111201,23284,13738,0,0,0,0,0,0
Quartz,India,tonne,497546,112108,782575,173890,1384155,341129,1488743,392258,1381406,351054
Quartz,Andhra Pradesh,tonne,214626,40845,361566,73655,893670,198156,522446,127727,508179,110151
Quartz,Bihar,tonne,0,0,0,0,8997,3914,0,0,0,0
Quartz,Chhattisgarh,tonne,655,92,731,144,17009,6804,14784,5845,4705,2113
Quartz,Gujarat,tonne,37540,4889,156248,27785,164462,24330,156379,28370,102885,19565
Quartz,Haryana,tonne,0,0,0,0,0,0,0,0,0,0
Quartz,Jharkhand,tonne,61665,10196,109127,25461,42474,8566,32633,8418,14730,2940
Quartz,Karnataka,tonne,10,3,0,0,6931,2225,63624,22443,88673,30344
Quartz,Madhya Pradesh,tonne,1754,173,0,0,340,31,0,0,3450,985
Quartz,Maharashtra,tonne,10505,2363,5315,2658,17475,14899,14985,6791,7256,6030
Quartz,Orissa,tonne,11414,5262,6241,2091,7720,3529,7142,7870,0,0
Quartz,Rajasthan,tonne,133797,26046,114632,22485,173448,40937,229814,57248,225528,53705
Quartz,Tamil Nadu,tonne,8674,18045,12631,14611,21367,28368,15783,18393,21268,15725
Quartz,Telangana,tonne,0,0,0,0,0,0,394733,96494,367467,96146
Quartz,Uttar Pradesh,tonne,0,0,0,0,0,0,900,90,50,5
Quartz,West Bengal,tonne,16906,4194,16084,5000,30262,9370,35520,12569,37215,13345
Quartzite,India,tonne,118117,45750,272141,139207,501399,276777,584235,342453,583095,325692
Quartzite,Andhra Pradesh,tonne,7717,4275,98955,44330,221885,96019,389984,194956,456494,220509
Quartzite,Bihar,tonne,62767,26855,35707,16895,109495,54829,35346,16350,5706,2616
Quartzite,Chhattisgarh,tonne,60,29,32626,36368,42524,43514,31119,33732,19696,20813
Quartzite,Haryana,tonne,0,0,0,0,0,0,0,0,0,0
Quartzite,Jharkhand,tonne,24810,5458,44726,9840,30771,7307,1981,436,0,0
Quartzite,Karnataka,tonne,11450,3607,10134,4155,10000,4900,13000,5200,8500,4505
Quartzite,Maharashtra,tonne,2455,614,37630,21111,55117,43160,58073,52063,59991,52234
Quartzite,Orissa,tonne,4608,3063,4715,3181,26818,26289,43455,36298,21863,21613
Quartzite,Rajasthan,tonne,4250,1849,7648,3327,4489,669,4187,1256,8285,2485
Quartzite,Tamilnadu,tonne,0,0,0,0,0,0,0,0,0,0
Quartzite,West Bengal,tonne,0,0,0,0,300,90,7090,2162,2560,917
Silica Sand,India,tonne,3380968,444684,4867667,714062,4303883,1002046,3724241,966210,3047485,877497
Silica Sand,Andhra Pradesh,tonne,1239896,82650,1582312,142157,2128989,325572,1693844,294559,1242041,223500
Silica Sand,Chhattisgarh,tonne,0,0,0,0,0,0,0,0,0,0
Silica Sand,Gujarat,tonne,1247949,94933,1959203,154387,869926,72208,844988,73943,873200,89601
Silica Sand,Haryana,tonne,0,0,0,0,0,0,0,0,0,0
Silica Sand,Jharkhand,tonne,97560,30733,113265,36724,81088,20971,0,0,0,0
Silica Sand,Karnataka,tonne,43988,6384,37607,11053,102854,37845,133005,56455,88773,39998
Silica Sand,Kerala,tonne,30975,26188,62683,83680,91833,160183,50793,107973,38628,81245
Silica Sand,Madhya Pradesh,tonne,0,0,0,0,0,0,0,0,NA,NA
Silica Sand,Maharashtra,tonne,256817,65828,236307,75652,278138,82656,274966,97212,129947,59139
Silica Sand,Orissa,tonne,0,0,0,0,0,0,0,0,NA,NA
Silica Sand,Rajasthan,tonne,232788,74016,755074,169043,626336,250040,611361,276557,510703,296991
Silica Sand,Tamil Nadu,tonne,8886,5466,4502,6518,10916,13337,44533,31058,74268,46933
Silica Sand,Uttar Pradesh,tonne,167109,36486,65584,13118,42051,8326,8336,1667,0,0
Silica Sand,West Bengal,tonne,55000,22000,51130,21730,71752,30908,62415,26786,89925,40090
Moulding Sand,India,tonne,0,0,30,5,3118,564,29963,4877,6383,1672
Moulding Sand,Chhattisgarh,tonne,0,0,0,0,2613,392,29323,4675,6383,1672
Moulding Sand,Gujarat,tonne,0,0,0,0,200,90,150,68,0,0
Moulding Sand,West Bengal,tonne,0,0,30,5,305,82,490,134,0,0
Sand (others),India,tonne,2057119,109682,2625111,162965,2638424,201821,2577869,244899,2100563,243975
Sand (others),Andhra Pradesh,tonne,1673153,91014,2157012,134198,1874624,150997,7788,1246,7197,1089
Sand (others),Karnataka,tonne,0,0,0,0,0,0,0,0,0,0
Sand (others),Meghalaya,tonne,10220,1635,32940,5139,12923,1065,0,0,0,0
Sand (others),Madhya Pradesh,tonne,0,0,0,0,0,0,109843,9666,16037,1540
Sand (others),Maharashtra,tonne,373746,17033,435159,23628,750877,49759,577986,38080,291979,27301
Sand (others),Rajasthan,tonne,0,0,0,0,0,0,5831,919,7232,1484
Sand (others),Telangana,tonne,0,0,0,0,0,0,1876421,194988,1778118,212561
Salt (rock),India,tonne,1200,2971,0,0,0,0,0,0,0,0
Salt (rock),Himachal Pradesh,tonne,1200,2971,0,0,0,0,0,0,0,0
Shale,India,tonne,3081622,103993,3439775,139066,3067718,165924,3006945,170761,2792904,224542
Shale,Andhra Pradesh,tonne,123106,7941,115998,8833,142617,12628,104309,12922,102331,13422
Shale,Himachal Pradesh,tonne,1502873,55393,1535493,49648,1512161,77717,1430549,85780,1279203,119514
Shale,Karnataka,tonne,559356,25710,825027,42901,546026,37730,670136,33507,646286,48559
Shale,Meghalaya,tonne,0,0,0,0,0,0,0,0,0,0
Shale,Madhya Pradesh,tonne,598912,5349,543481,6321,519521,5514,453825,5319,384008,5301
Shale,Maharashtra,tonne,297375,9600,419776,31363,347393,32335,289026,29170,294076,31467
Shale,Telangana,tonne,0,0,0,0,0,0,59100,4063,87000,6279
Slate,India,tonne,0,0,0,0,278,263,351,332,218,197
Slate,Andhra Pradesh,tonne,0,0,0,0,0,0,0,0,0,0
Slate,Haryana,tonne,0,0,0,0,278,263,351,332,218,197
Slate,Madhya Pradesh,tonne,0,0,0,0,0,0,0,0,0,0
Steatite,India,tonne,902686,618286,998438,878590,971778,888390,887925,983272,774281,950316
Steatite,Andhra Pradesh,tonne,59336,25684,91646,34941,85117,30980,62214,31203,57752,30679
Steatite,Bihar,tonne,2948,513,0,0,0,0,0,0,0,0
Steatite,Chhattisgarh,tonne,5,2,316,95,440,132,0,0,0,0
Steatite,Gujarat,tonne,2316,289,2981,426,2626,783,1301,403,0,0
Steatite,Jharkhand,tonne,0,0,4041,1144,1400,532,0,0,0,0
Steatite,Karnataka,tonne,0,0,0,0,0,0,0,0,0,0
Steatite,Madhya Pradesh,tonne,0,0,66,7,140,56,1887,969,1828,933
Steatite,Orissa,tonne,0,0,0,0,0,0,0,0,NA,NA
Steatite,Rajasthan,tonne,664649,420656,738877,634367,766742,681223,739739,811620,633216,771047
Steatite,Tamil Nadu,tonne,1295,259,0,0,991,297,1280,384,2750,825
Steatite,Uttaranchal,tonne,172137,170883,160511,207610,114322,174387,81504,138693,78735,146832
Selenite,India,tonne,6736,5726,13047,16105,7577,10226,531,706,207,456
Selenite,Rajasthan,tonne,6736,5726,13047,16105,7577,10226,531,706,207,456
Sulphur,India,tonne,236998,0,381146,0,449004,0,390325,0,429258,0
Sulphur,Assam,tonne,3328,0,4968,0,3706,0,4950,0,5803,0
Sulphur,Bihar,tonne,8353,0,9329,0,12345,0,10253,0,8629,0
Sulphur,Gujarat,tonne,22436,0,65923,0,74697,0,76088,0,90096,0
Sulphur,Haryana,tonne,136622,0,174915,0,218633,0,170471,0,168598,0
Sulphur,Maharashtra,tonne,0,0,54850,0,46991,0,51301,0,57691,0
Sulphur,Punjab,tonne,2111,0,3407,0,12676,0,0,0,0,0
Sulphur,Tamil Nadu,tonne,0,0,0,0,0,0,0,0,NA,NA
Sulphur,Uttar Pradesh,tonne,38856,0,36005,0,43574,0,35361,0,48782,0
Sulphur,West Bengal,tonne,25292,0,31749,0,36382,0,41901,0,49659,0
Vermiculite,India,tonne,19234,13132,10194,7085,7947,5010,11851,9470,15327,11094
Vermiculite,Andhra Pradesh,tonne,17081,8314,8652,3631,6474,1885,9650,4542,13126,6172
Vermiculite,Gujarat,tonne,0,0,0,0,0,0,0,0,0,0
Vermiculite,Karnataka,tonne,0,0,0,0,100,30,0,0,0,0
Vermiculite,Madhya Pradesh,tonne,0,0,0,0,0,0,0,0,0,0
Vermiculite,Rajasthan,tonne,0,0,0,0,0,0,0,0,0,0
Vermiculite,Tamil Nadu,tonne,2153,4818,1542,3454,1373,3095,2201,4928,2201,4922
Wollastonite,India,tonne,183381,145958,184445,159974,145667,127468,192712,157090,186519,162170
Wollastonite,Rajasthan,tonne,183381,145958,184445,159974,145667,127468,192712,157090,186519,162170
